,City,State,Population,Location,Latitude,Longitude
59,Charlotte,North Carolina,241178,South,35.2270869,-80.8431267
60,St. Petersburg,Florida,216232,South,27.7676008,-82.64029149999999
61,Corpus Christi,Texas,204525,South,27.8005828,-97.39638099999999
62,Yonkers,New York,204297,Northeast,40.9312099,-73.89874689999999
63,Des Moines,Iowa,200587,Midwest,41.5868353,-93.6249593
64,Grand Rapids,Michigan,197649,Midwest,42.9633599,-85.6680863
65,Syracuse,New York,197208,Northeast,43.0481221,-76.14742439999999
66,Flint,Michigan,193317,Midwest,43.0125274,-83.6874562
67,Mobile,Alabama,190026,South,30.6953657,-88.0398912
68,Shreveport,Louisiana,182064,South,32.5251516,-93.7501789
69,Warren,Michigan,179260,Midwest,42.5144566,-83.01465259999999
70,Providence,Rhode Island,179213,Northeast,41.8239891,-71.4128343
71,Fort Wayne,Indiana,177671,Midwest,41.079273,-85.1393513
72,Worcester,Massachusetts,176572,Northeast,42.2625932,-71.8022934
73,Salt Lake City,Utah,175885,West,40.7607793,-111.8910474
74,Gary,Indiana,175415,Midwest,41.6020403,-87.3371523
75,Knoxville,Tennessee,174587,South,35.9606384,-83.9207392
76,Arlington,Virginia,174284,South,38.8816208,-77.09098089999999
77,Madison,Wisconsin,173258,Midwest,43.0730517,-89.4012302
78,Virginia Beach,Virginia,172106,South,36.8529263,-75.97798499999999
79,Spokane,Washington,170516,West,47.6587802,-117.4260465
80,Kansas City,Kansas,168213,Midwest,39.11553139999999,-94.62678729999999
81,Anaheim,California,166701,West,33.8365932,-117.9143012
82,Fresno,California,165972,West,36.7377981,-119.7871247
83,Baton Rouge,Louisiana,165963,South,30.4514677,-91.18714659999999
84,Springfield,Massachusetts,163905,Northeast,42.1014831,-72.589811
85,Hartford,Connecticut,158017,Northeast,41.7658043,-72.6733723
86,Santa Ana,California,156601,West,33.7454725,-117.867653
87,Bridgeport,Connecticut,156542,Northeast,41.1792258,-73.1894384
88,Tacoma,Washington,154581,West,47.2528768,-122.4442906
89,Columbus,Georgia,154168,South,32.4609764,-84.9877094
90,Jackson,Mississippi,153968,South,32.2987573,-90.1848103
91,Lincoln,Nebraska,149518,Midwest,40.813616,-96.7025955
92,Lubbock,Texas,149101,South,33.5778631,-101.8551665
93,Rockford,Illinois,147370,Midwest,42.2711311,-89.0939952
94,Paterson,New Jersey,144824,Northeast,40.9167654,-74.17181099999999
95,Greensboro,North Carolina,144076,South,36.0726354,-79.7919754
96,Riverside,California,140089,West,33.9806005,-117.3754942
97,Youngstown,Ohio,139788,Midwest,41.0997803,-80.6495194
98,Fort Lauderdale,Florida,139590,South,26.1224386,-80.13731740000001
99,Evansville,Indiana,138764,Midwest,37.9715592,-87.5710898
