,City,State,Population,Location,Latitude,Longitude
56,Rochester,New York,241741,Northeast,43.15657789999999,-77.6088465
57,St. Petersburg,Florida,238647,South,27.7676008,-82.64029149999999
58,Akron,Ohio,237177,Midwest,41.0814447,-81.51900529999999
59,Corpus Christi,Texas,231999,South,27.8005828,-97.39638099999999
60,Jersey City,New Jersey,223532,Northeast,40.7177545,-74.0431435
61,Baton Rouge,Louisiana,219419,South,30.4514677,-91.18714659999999
62,Anaheim,California,219311,West,33.8365932,-117.9143012
63,Richmond,Virginia,219214,South,37.5407246,-77.4360481
64,Fresno,California,218202,West,36.7377981,-119.7871247
65,Colorado Springs,Colorado,215150,West,38.8338816,-104.8213634
66,Shreveport,Louisiana,205820,South,32.5251516,-93.7501789
67,Lexington-Fayette,Kentucky,204165,South,38.0405837,-84.5037164
68,Santa Ana,California,203713,West,33.7454725,-117.867653
69,Dayton,Ohio,203371,Midwest,39.7589478,-84.1916069
70,Jackson,Mississippi,202895,South,32.2987573,-90.1848103
71,Mobile,Alabama,200452,South,30.6953657,-88.0398912
72,Yonkers,New York,195351,Northeast,40.9312099,-73.89874689999999
73,Des Moines,Iowa,191003,Midwest,41.5868353,-93.6249593
74,Grand Rapids,Michigan,181843,Midwest,42.9633599,-85.6680863
75,Montgomery,Alabama,177857,South,32.3792233,-86.3077368
76,Knoxville,Tennessee,175030,South,35.9606384,-83.9207392
77,Anchorage,Alaska,174431,West,61.2180556,-149.9002778
78,Lubbock,Texas,173979,South,33.5778631,-101.8551665
79,Fort Wayne,Indiana,172196,Midwest,41.079273,-85.1393513
80,Lincoln,Nebraska,171932,Midwest,40.813616,-96.7025955
81,Spokane,Washington,171300,West,47.6587802,-117.4260465
82,Riverside,California,170876,West,33.9806005,-117.3754942
83,Madison,Wisconsin,170616,Midwest,43.0730517,-89.4012302
84,Huntington Beach,California,170505,West,33.6594835,-117.9988026
85,Syracuse,New York,170105,Northeast,43.0481221,-76.14742439999999
86,Chattanooga,Tennessee,169565,South,35.0456297,-85.3096801
87,Columbus,Georgia,169441,South,32.4609764,-84.9877094
88,Las Vegas,Nevada,164674,West,36.1699412,-115.1398296
89,Metairie,Louisiana,164160,South,29.9840922,-90.1528519
90,Salt Lake City,Utah,163033,West,40.7607793,-111.8910474
91,Worcester,Massachusetts,161799,Northeast,42.2625932,-71.8022934
92,Warren,Michigan,161134,Midwest,42.5144566,-83.01465259999999
93,Kansas City,Kansas,161087,Midwest,39.11553139999999,-94.62678729999999
94,Arlington,Texas,160113,South,32.735687,-97.10806559999999
95,Flint,Michigan,159611,Midwest,43.0125274,-83.6874562
96,Aurora,Colorado,158588,West,39.7294319,-104.8319195
97,Tacoma,Washington,158501,West,47.2528768,-122.4442906
98,Little Rock,Arkansas,158461,South,34.7464809,-92.28959479999999
99,Providence,Rhode Island,156804,Northeast,41.8239891,-71.4128343
