,City,State,Population,Location,Latitude,Longitude
62,Bridgeport,Connecticut,158709,Northeast,41.1792258,-73.1894384
63,Yonkers,New York,152798,Northeast,40.9312099,-73.89874689999999
64,Tacoma,Washington,143673,West,47.2528768,-122.4442906
65,Paterson,New Jersey,139336,Northeast,40.9167654,-74.17181099999999
66,Sacramento,California,137572,West,38.5815719,-121.4943996
67,Arlington,Virginia,135449,South,38.8816208,-77.09098089999999
68,Albany,New York,134995,Northeast,42.6525793,-73.7562317
69,Charlotte,North Carolina,134042,South,35.2270869,-80.8431267
70,Gary,Indiana,133911,Midwest,41.6020403,-87.3371523
71,Fort Wayne,Indiana,133607,Midwest,41.079273,-85.1393513
72,Austin,Texas,132459,South,30.267153,-97.7430608
73,Chattanooga,Tennessee,131041,South,35.0456297,-85.3096801
74,Erie,Pennsylvania,130803,Northeast,42.12922409999999,-80.085059
75,El Paso,Texas,130485,South,31.7618778,-106.4850217
76,Kansas City,Kansas,129553,Midwest,39.11553139999999,-94.62678729999999
77,Mobile,Alabama,129009,South,30.6953657,-88.0398912
78,Evansville,Indiana,128636,Midwest,37.9715592,-87.5710898
79,Trenton,New Jersey,128009,Northeast,40.2205824,-74.759717
80,Shreveport,Louisiana,127206,South,32.5251516,-93.7501789
81,Baton Rouge,Louisiana,125629,South,30.4514677,-91.18714659999999
82,Scranton,Pennsylvania,125536,Northeast,41.408969,-75.66241219999999
83,Knoxville,Tennessee,124769,South,35.9606384,-83.9207392
84,Tampa,Florida,124681,South,27.950575,-82.4571776
85,Camden,New Jersey,124555,Northeast,39.9259463,-75.1196199
86,Cambridge,Massachusetts,120740,Northeast,42.3736158,-71.10973349999999
87,Savannah,Georgia,119638,South,32.0808989,-81.091203
88,Canton,Ohio,116912,Midwest,40.79894729999999,-81.378447
89,South Bend,Indiana,115911,Midwest,41.6763545,-86.25198979999999
90,Berkeley,California,113805,West,37.8715226,-122.273042
91,Elizabeth,New Jersey,112817,Northeast,40.6639916,-74.2107006
92,Fall River,Massachusetts,111963,Northeast,41.7014912,-71.1550451
93,Peoria,Illinois,111856,Midwest,40.6936488,-89.5889864
94,Wilmington,Delaware,110356,South,39.744655,-75.5483909
95,Reading,Pennsylvania,109320,Northeast,40.3356483,-75.9268747
96,New Bedford,Massachusetts,109189,Northeast,41.6362152,-70.93420499999999
97,Corpus Christi,Texas,108287,South,27.8005828,-97.39638099999999
98,Phoenix,Arizona,106818,West,33.4483771,-112.0740373
99,Allentown,Pennsylvania,106756,Northeast,40.6022939,-75.4714098
