,City,State,Population,Location,Latitude,Longitude
0,New York,NY,8008278,Northeast,40.7127753,-74.0059728
1,Los Angeles,CA,3694820,West,34.0522342,-118.2436849
2,Chicago,IL,2896016,Midwest,41.8781136,-87.6297982
3,Houston,TX,1953631,South,29.7604267,-95.3698028
4,Philadelphia,PA,1517550,Northeast,39.9525839,-75.1652215
5,Phoenix,AZ,1321045,West,33.4483771,-112.0740373
6,San Diego,CA,1223400,West,32.715738,-117.1610838
7,Dallas,TX,1188580,South,32.7766642,-96.79698789999999
8,San Antonio,TX,1144646,South,29.4241219,-98.49362819999999
9,Detroit,MI,951270,Midwest,42.331427,-83.0457538
10,San Jose,CA,894943,West,37.3382082,-121.8863286
11,Indianapolis,IN,791926,Midwest,39.768403,-86.158068
12,San Francisco,CA,776733,West,37.7749295,-122.4194155
13,Jacksonville,FL,735617,South,30.3321838,-81.65565099999999
14,Columbus,OH,711470,Midwest,39.9611755,-82.99879419999999
15,Austin,TX,656562,South,30.267153,-97.7430608
16,Baltimore,MD,651154,South,39.2903848,-76.6121893
17,Memphis,TN,650100,South,35.1495343,-90.0489801
18,Milwaukee,WI,596974,Midwest,43.0389025,-87.9064736
19,Boston,MA,589141,Northeast,42.3600825,-71.0588801
20,Washington,DC,572059,South,38.9071923,-77.0368707
21,Nashville-Davidson,TN,569891,South,36.1626638,-86.7816016
22,El Paso,TX,563662,South,31.7618778,-106.4850217
23,Seattle,WA,563374,West,47.6062095,-122.3320708
24,Denver,CO,554636,West,39.7392358,-104.990251
25,Charlotte,NC,540828,South,35.2270869,-80.8431267
26,Fort Worth,TX,534694,South,32.7554883,-97.3307658
27,Portland,OR,529121,West,45.5051064,-122.6750261
28,Oklahoma City,OK,506132,South,35.4675602,-97.5164276
29,Tucson,AZ,486699,West,32.2226066,-110.9747108
30,New Orleans,LA,484674,South,29.95106579999999,-90.0715323
31,Las Vegas,NV,478434,West,36.1699412,-115.1398296
32,Cleveland,OH,478403,Midwest,41.49932,-81.6943605
33,Long Beach,CA,461522,West,33.7700504,-118.1937395
34,Albuquerque,NM,448607,West,35.0843859,-106.650422
35,Kansas City,MO,441545,Midwest,39.0997265,-94.5785667
36,Fresno,CA,427652,West,36.7377981,-119.7871247
37,Virginia Beach,VA,425257,South,36.8529263,-75.97798499999999
38,San Juan,Puerto Rico,421958,,18.4655394,-66.1057355
39,Atlanta,GA,416474,South,33.7489954,-84.3879824
40,Sacramento,CA,407018,West,38.5815719,-121.4943996
41,Oakland,CA,399484,West,37.8043514,-122.2711639
42,Mesa,AZ,396375,West,33.4151843,-111.8314724
43,Tulsa,OK,393049,South,36.1539816,-95.99277500000001
44,Omaha,NE,390007,Midwest,41.2565369,-95.9345034
45,Minneapolis,MN,382618,Midwest,44.977753,-93.2650108
46,Honolulu,HI,371657,West,21.3069444,-157.8583333
47,Miami,FL,362470,South,25.7616798,-80.1917902
48,Colorado Springs,CO,360890,West,38.8338816,-104.8213634
49,St. Louis,MO,348189,Midwest,38.6270025,-90.19940419999999
50,Wichita,KS,344284,Midwest,37.68717609999999,-97.33005299999999
51,Santa Ana,CA,337977,West,33.7454725,-117.867653
52,Pittsburgh,PA,334563,Northeast,40.44062479999999,-79.9958864
53,Arlington,TX,332969,South,32.735687,-97.10806559999999
54,Cincinnati,OH,331285,Midwest,39.1031182,-84.5120196
55,Anaheim,CA,328014,West,33.8365932,-117.9143012
56,Toledo,OH,313619,Midwest,41.6528052,-83.5378674
57,Tampa,FL,303447,South,27.950575,-82.4571776
58,Buffalo,NY,292648,Northeast,42.88644679999999,-78.8783689
59,St. Paul,MN,287151,Midwest,44.9537029,-93.0899578
60,Corpus Christi,TX,277454,South,27.8005828,-97.39638099999999
61,Aurora,CO,276393,West,39.7294319,-104.8319195
62,Raleigh,NC,276093,South,35.7795897,-78.6381787
63,Newark,NJ,273546,Northeast,40.735657,-74.1723667
64,Lexington-Fayette,KY,260512,South,38.0405837,-84.5037164
65,Anchorage,AK,260283,West,61.2180556,-149.9002778
66,Louisville,KY,256231,South,38.2526647,-85.7584557
67,Riverside,CA,255166,West,33.9806005,-117.3754942
68,St. Petersburg,FL,248232,South,27.7676008,-82.64029149999999
69,Bakersfield,CA,247057,West,35.3732921,-119.0187125
70,Stockton,CA,243771,West,37.9577016,-121.2907796
71,Birmingham,AL,242820,South,33.5185892,-86.8103567
72,Jersey City,NJ,240055,Northeast,40.7177545,-74.0431435
73,Norfolk,VA,234403,South,36.8507689,-76.28587259999999
74,Baton Rouge,LA,227818,South,30.4514677,-91.18714659999999
75,Hialeah,FL,226419,South,25.8575963,-80.2781057
76,Lincoln,NE,225581,Midwest,40.813616,-96.7025955
77,Greensboro,NC,223891,South,36.0726354,-79.7919754
78,Plano,TX,222030,South,33.0198431,-96.6988856
79,Rochester,NY,219773,Northeast,43.15657789999999,-77.6088465
80,Glendale,AZ,218812,West,33.5386523,-112.1859866
81,Akron,OH,217074,Midwest,41.0814447,-81.51900529999999
82,Garland,TX,215768,South,32.912624,-96.63888329999999
83,Madison,WI,208054,Midwest,43.0730517,-89.4012302
84,Fort Wayne,IN,205727,Midwest,41.079273,-85.1393513
85,Bayamon,Puerto Rico,203499,,18.389396,-66.1653224
86,Fremont,CA,203413,West,37.5485396,-121.988583
87,Scottsdale,AZ,202705,West,33.4941704,-111.9260519
88,Montgomery,AL,201568,South,32.3792233,-86.3077368
89,Shreveport,LA,200145,South,32.5251516,-93.7501789
90,Augusta-Richmond County,GA,199775,South,33.4734978,-82.0105148
91,Lubbock,TX,199564,South,33.5778631,-101.8551665
92,Chesapeake,VA,199184,South,36.7682088,-76.2874927
93,Mobile,AL,198915,South,30.6953657,-88.0398912
94,Des Moines,IA,198682,Midwest,41.5868353,-93.6249593
95,Grand Rapids,MI,197800,Midwest,42.9633599,-85.6680863
96,Richmond,VA,197790,South,37.5407246,-77.4360481
97,Yonkers,NY,196086,Northeast,40.9312099,-73.89874689999999
